Method,Num_Clusters,Silhouette,CH_Index,DB_Index
No Data Processing,3,0.3750155190004844,183.35966663071304,0.9782550612936532
No Data Processing,4,0.3482693265230514,185.2559158902484,0.9700745215574362
No Data Processing,5,0.352228359053959,196.9539559097712,0.9106205220145334
Pca,3,0.3750155190004844,183.35966663071304,0.9782550612936532
Pca,4,0.3482693265230514,185.25591589024836,0.970074521557436
Pca,5,0.352228359053959,196.95395590977128,0.9106205220145333
transformed,3,0.8554418385535055,13039.778749807889,0.3388976939019816
transformed,4,0.5109335566635397,14291.97512678044,0.6054327905520511
transformed,5,0.4435462683019511,13978.101950965583,0.7248909287905436
T+N+Pca,3,0.2112113900695403,121.1746831934835,1.6328644166057
T+N+Pca,4,0.1934586767090634,111.79413965210064,1.6806065798524938
T+N+Pca,5,0.1785557861472881,104.1315625139174,1.5251578374729775
T+N,3,0.2112113900695403,121.1746831934836,1.6328644166056978
T+N,4,0.1934586767090634,111.79413965210072,1.6806065798524934
T+N,5,0.1785557861472881,104.13156251391744,1.5251578374729775
Normalized,3,0.6356103280487203,79.92033733117051,0.5728970298676934
Normalized,4,0.3551974304037141,127.08976299322543,0.8596888488285752
Normalized,5,0.3631732423110055,115.7714357203646,0.794458912510098
